Gold_biosampple	MEGAHIT v. 0.2.0;Unknown	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.4	Metaspades v. 3.13.0;IMG Annotation Pipeline v.5.0.20	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0	spades v. 3.11.1;IMG Annotation Pipeline v.4.16.2	MEGAHIT v. 0.2.0;Unknown	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.4	Metaspades v. 3.13.0;IMG Annotation Pipeline v.5.0.20	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0	spades v. 3.11.1;IMG Annotation Pipeline v.4.16.2	MEGAHIT v. 0.2.0;Unknown	MEGAHIT v. 1.0.3;IMG Annotation Pipeline v.4.11.4	Metaspades v. 3.13.0;IMG Annotation Pipeline v.5.0.20	metaSPAdes v. 3.15.0;IMGAP Version: 5.2.0	spades v. 3.11.1;IMG Annotation Pipeline v.4.16.2
ID	Unique_KO_count	Unique_KO_count	Unique_KO_count	Unique_KO_count	Unique_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_KO_count	Total_features_count	Total_features_count	Total_features_count	Total_features_count	Total_features_count
Gb0126424		4447	3608	4152	4468		95995	47892	54893	90748		234146	139407	144462	236272
Gb0126456		4845	3988	4599	5139		139740	76739	88150	160641		340759	225998	233068	436062
Gb0115217	5245		4321	4947	4824	212582		66106	75615	59282	679522		208146	218003	179359
Gb0126434		5089	4239	4859	5578		186314	116276	133548	317602		471175	351360	360705	865540
Gb0115221	6934		4013	4585	4713	119762		37850	41996	42669	477109		133379	143038	139699
Gb0126440		4860	3916	4552	5286		158556	95260	108769	248726		390997	274573	282403	654431
Gb0115226	5438		4819	5540	4666	330894		116223	129626	81089	839847		285749	296875	181902
Gb0126438		4818	4015	4647	5280		149775	91918	105325	212047		372940	273139	280761	576246
Gb0126448		4989	3969	4581	4794		84484	36011	41479	59806		200380	106421	112581	158747
Gb0115227	6022		3749	4313	4483	134966		45671	50814	49219	363141		112677	117979	126632
Gb0115223	6722		4004	4646	4881	174673		53060	59255	59549	505192		135714	142920	160433
Gb0126444		4911	4091	4731	5531		150465	87176	100361	253677		378378	264740	272946	694672
Gb0126441		4819	3777	4394	4875		107260	40076	46528	101705		250244	120038	124749	267419
Gb0126435		5043	4142	4798	5027		147025	72545	83138	128003		349467	211799	217981	330218
Gb0126433		4890	3875	4465	5217		122737	52101	60309	134212		291984	155361	160225	379669
Gb0126443		4691	3728	4350	4755		99766	40505	46676	97572		227302	118538	122556	250993
Gb0126445		3692	2864	3290	5085		41704	20071	22696	194832		92730	55466	57017	487985
Gb0126431		4778	3803	4454	4678		123935	50099	58088	99830		294148	149210	154017	263335
Gb0115233	6133		6201	7136	6866	652313		197142	227640	182902	2205587		631086	662094	545224
Gb0126446		4382	3565	4121	5259		86647	43537	49724	145358		210242	126237	131048	403314
Gb0126439		4844	3926	4554	5011		140630	73876	83710	166001		330667	207404	213015	415311
Gb0126432		5071	4230	4885	5330		168188	98291	113459	196921		426213	302655	311922	549923
Gb0115232	9297		6075	6998	6737	489519		140258	157974	126631	1516611		449878	473081	389850
Gb0126429		4980	4062	4756	5321		136517	64966	74760	147024		323670	187050	193684	403037
Gb0115225	6765		3967	4606	4807	177884		55040	61454	58191	510554		140596	148526	155782
Gb0115218	6244		3684	4196	4437	136573		31815	35451	39843	374682		92189	96669	115333
Gb0126428		4097	3292	3793	4257		48961	19800	22733	48941		109655	56073	58721	124757
Gb0115220	6383		4065	4643	4756	182084		61462	67898	65008	477317		146391	152845	164049
Gb0126453		5013	4209	4850	5360		159362	91763	105288	188058		395222	274505	282473	520385
Gb0115231	6256		6181	7065	6889	767459		211989	239343	212280	2377459		633217	663727	601833
Gb0126452		4745	3831	4428	4670		135839	75733	86993	131536		343260	225709	233216	348966
Gb0115222	5112		5603	6437	5671	194371		72529	81627	52307	1142670		361093	388680	223052
Gb0126454		3939	3187	3676	4110		41581	17557	20268	39107		92558	52092	55065	102302
Gb0126430		4806	3959	4558	5137		157646	89874	102664	195953		388033	259462	267704	530459
Gb0126442		4907	4050	4306			136848	79630	68686			344972	239885	247943	
Gb0115229	5870		3678	4274	4278	138602		39503	44164	45566	364150		97854	102806	117436
Gb0115228	5133		4339	5052	4700	251581		70685	79259	61286	613115		174328	180970	149397
Gb0126450		4898	4067	4689	5206		152586	80290	91672	175172		371066	233545	240344	476964
Gb0126449		4953	4021	4657	5224		130347	60559	69456	137368		302904	173880	179292	378890
Gb0126427		4707	3728	4344	5056		102023	42465	48788	119090		235726	123421	127427	328338
Gb0126437		4758	3777	4427	5227		94628	35348	41129	108122		218696	106342	111039	318978
Gb0126455		5113	4221	4952	5376		168230	83804	95689	164662		391069	236153	243328	446191
Gb0115224	5177		4290	4939	4724	262162		73016	81739	62913	704778		185680	194009	156198
Gb0115230	5413		4424	5150	5068	344685		101050	112789	94542	816379		236579	245380	227994
Gb0115219	8956		6017	6952	6660	501956		141712	160138	128633	1440824		412325	432829	370909
Gb0126425		4912	4041	4612	4912		145558	79581	90550	143899		352501	234254	240640	368062
Gb0126436		4933	4074	4691	5364		153092	87876	101032	200230		382026	261066	268954	548723
Gb0126426		5079	4159	4855	5405		212283	131158	150660	289887		534622	389071	400068	775225
Gb0126457		4925	4013	4699	5404		143411	71143	81376	188791		336587	201723	207806	506700
Gb0126447		4771	3868	4463	5473		73884	29312	33530	87300		170285	86763	92099	250287
