biosample_id,n_metag_ko,n_metat_ko,n_shared_ko,n_metag_only,n_metat_only,jaccard
nmdc:bsm-11-042nd237,9520,9888,8311,1209,1577,0.7489411552671893
nmdc:bsm-11-3p2mnz08,9485,8143,7244,2241,899,0.6976117103235747
nmdc:bsm-11-622k6044,9101,9447,7790,1311,1657,0.7241122885294664
nmdc:bsm-11-65a4xw75,8996,8617,7266,1730,1351,0.7022325311684546
nmdc:bsm-11-6m6c9g55,9490,7938,6975,2515,963,0.6672725533339711
nmdc:bsm-11-6x067s27,9693,7547,6806,2887,741,0.6522905884608012
nmdc:bsm-11-71991e79,9227,8360,7197,2030,1163,0.6926852743022137
nmdc:bsm-11-7m09me46,9330,7412,6578,2752,834,0.6471861471861472
nmdc:bsm-11-7twwzs96,9569,7738,6759,2810,979,0.6407849829351536
nmdc:bsm-11-8rn9bm20,9173,8649,7409,1764,1240,0.7115144530874868
nmdc:bsm-11-93mc8g67,9076,8614,7363,1713,1251,0.712985378134986
nmdc:bsm-11-cwey4y35,8941,7772,6657,2284,1115,0.6619928400954654
nmdc:bsm-11-frgt4x11,9052,6777,6136,2916,641,0.6330341483544826
nmdc:bsm-11-g61cvw79,8637,6288,5658,2979,630,0.6105535772094529
nmdc:bsm-11-gk0czc37,9155,7038,6407,2748,631,0.6547108113631719
nmdc:bsm-11-gr59rt72,7691,9210,6604,1087,2606,0.6413518500534137
nmdc:bsm-11-ha179016,9515,7206,6372,3143,834,0.615711662962605
nmdc:bsm-11-hebdaz02,9268,8328,7396,1872,932,0.7250980392156863
nmdc:bsm-11-ncyddq48,9415,7030,6523,2892,507,0.6574279379157428
nmdc:bsm-11-nq2tfm26,7844,7468,6119,1725,1349,0.6656151419558359
nmdc:bsm-11-ssfs1051,9561,6685,6256,3305,429,0.6262262262262263
nmdc:bsm-11-ve9a4g91,9299,8896,7516,1783,1380,0.7038112182788651
nmdc:bsm-11-wrvmh591,9634,8649,7702,1932,947,0.7279085152632077
nmdc:bsm-11-xtz7he28,9644,8896,7806,1838,1090,0.7272219116825042
nmdc:bsm-11-xxvfda22,7801,7526,5565,2236,1961,0.5700676090964967
