biosample_id,taxon,count
nmdc:bsm-11-042nd237,Archaea,19897
nmdc:bsm-11-042nd237,Bacteria,6277682
nmdc:bsm-11-042nd237,Eukaryota,62269
nmdc:bsm-11-042nd237,Viruses,3131
nmdc:bsm-11-3p2mnz08,Archaea,10813
nmdc:bsm-11-3p2mnz08,Bacteria,5518853
nmdc:bsm-11-3p2mnz08,Eukaryota,54983
nmdc:bsm-11-3p2mnz08,Viruses,2285
nmdc:bsm-11-622k6044,Archaea,29377
nmdc:bsm-11-622k6044,Bacteria,5973947
nmdc:bsm-11-622k6044,Eukaryota,34827
nmdc:bsm-11-622k6044,Viruses,4679
nmdc:bsm-11-65a4xw75,Archaea,25208
nmdc:bsm-11-65a4xw75,Bacteria,4854601
nmdc:bsm-11-65a4xw75,Eukaryota,37040
nmdc:bsm-11-65a4xw75,Viruses,1770
nmdc:bsm-11-6m6c9g55,Archaea,13266
nmdc:bsm-11-6m6c9g55,Bacteria,5557788
nmdc:bsm-11-6m6c9g55,Eukaryota,54821
nmdc:bsm-11-6m6c9g55,Viruses,1491
nmdc:bsm-11-6x067s27,Archaea,10820
nmdc:bsm-11-6x067s27,Bacteria,4946915
nmdc:bsm-11-6x067s27,Eukaryota,53052
nmdc:bsm-11-6x067s27,Viruses,1914
nmdc:bsm-11-71991e79,Archaea,15326
nmdc:bsm-11-71991e79,Bacteria,6104941
nmdc:bsm-11-71991e79,Eukaryota,39321
nmdc:bsm-11-71991e79,Viruses,2654
nmdc:bsm-11-7m09me46,Archaea,12418
nmdc:bsm-11-7m09me46,Bacteria,5682124
nmdc:bsm-11-7m09me46,Eukaryota,73882
nmdc:bsm-11-7m09me46,Viruses,1534
nmdc:bsm-11-7twwzs96,Archaea,8527
nmdc:bsm-11-7twwzs96,Bacteria,5234101
nmdc:bsm-11-7twwzs96,Eukaryota,69532
nmdc:bsm-11-7twwzs96,Viruses,2680
nmdc:bsm-11-8rn9bm20,Archaea,13610
nmdc:bsm-11-8rn9bm20,Bacteria,5518817
nmdc:bsm-11-8rn9bm20,Eukaryota,39168
nmdc:bsm-11-8rn9bm20,Viruses,1180
nmdc:bsm-11-93mc8g67,Archaea,15682
nmdc:bsm-11-93mc8g67,Bacteria,5038834
nmdc:bsm-11-93mc8g67,Eukaryota,59781
nmdc:bsm-11-93mc8g67,Viruses,3012
nmdc:bsm-11-cwey4y35,Archaea,15737
nmdc:bsm-11-cwey4y35,Bacteria,5497070
nmdc:bsm-11-cwey4y35,Eukaryota,32493
nmdc:bsm-11-cwey4y35,Viruses,2304
nmdc:bsm-11-frgt4x11,Archaea,21957
nmdc:bsm-11-frgt4x11,Bacteria,5209247
nmdc:bsm-11-frgt4x11,Eukaryota,38114
nmdc:bsm-11-frgt4x11,Viruses,1522
nmdc:bsm-11-g61cvw79,Archaea,19114
nmdc:bsm-11-g61cvw79,Bacteria,4984247
nmdc:bsm-11-g61cvw79,Eukaryota,25735
nmdc:bsm-11-g61cvw79,Viruses,1808
nmdc:bsm-11-gk0czc37,Archaea,17001
nmdc:bsm-11-gk0czc37,Bacteria,5699179
nmdc:bsm-11-gk0czc37,Eukaryota,31272
nmdc:bsm-11-gk0czc37,Viruses,2631
nmdc:bsm-11-gr59rt72,Archaea,25790
nmdc:bsm-11-gr59rt72,Bacteria,3406251
nmdc:bsm-11-gr59rt72,Eukaryota,12036
nmdc:bsm-11-gr59rt72,Viruses,1708
nmdc:bsm-11-ha179016,Archaea,10995
nmdc:bsm-11-ha179016,Bacteria,5375377
nmdc:bsm-11-ha179016,Eukaryota,49063
nmdc:bsm-11-ha179016,Viruses,993
nmdc:bsm-11-hebdaz02,Archaea,14437
nmdc:bsm-11-hebdaz02,Bacteria,5883221
nmdc:bsm-11-hebdaz02,Eukaryota,55731
nmdc:bsm-11-hebdaz02,Viruses,2257
nmdc:bsm-11-ncyddq48,Archaea,12336
nmdc:bsm-11-ncyddq48,Bacteria,6159451
nmdc:bsm-11-ncyddq48,Eukaryota,59969
nmdc:bsm-11-ncyddq48,Viruses,2616
nmdc:bsm-11-nq2tfm26,Archaea,31410
nmdc:bsm-11-nq2tfm26,Bacteria,5251361
nmdc:bsm-11-nq2tfm26,Eukaryota,11751
nmdc:bsm-11-nq2tfm26,Viruses,1786
nmdc:bsm-11-ssfs1051,Archaea,13496
nmdc:bsm-11-ssfs1051,Bacteria,5514365
nmdc:bsm-11-ssfs1051,Eukaryota,68923
nmdc:bsm-11-ssfs1051,Viruses,1618
nmdc:bsm-11-ve9a4g91,Archaea,10129
nmdc:bsm-11-ve9a4g91,Bacteria,5429808
nmdc:bsm-11-ve9a4g91,Eukaryota,30680
nmdc:bsm-11-ve9a4g91,Viruses,2421
nmdc:bsm-11-wrvmh591,Archaea,12785
nmdc:bsm-11-wrvmh591,Bacteria,6139849
nmdc:bsm-11-wrvmh591,Eukaryota,64029
nmdc:bsm-11-wrvmh591,Viruses,2950
nmdc:bsm-11-xtz7he28,Archaea,12362
nmdc:bsm-11-xtz7he28,Bacteria,5756712
nmdc:bsm-11-xtz7he28,Eukaryota,48009
nmdc:bsm-11-xtz7he28,Viruses,2074
nmdc:bsm-11-xxvfda22,Archaea,35804
nmdc:bsm-11-xxvfda22,Bacteria,6240258
nmdc:bsm-11-xxvfda22,Eukaryota,10875
nmdc:bsm-11-xxvfda22,Viruses,2324
