biosample_id,taxon,expr_sum
nmdc:bsm-11-042nd237,Archaea,81199
nmdc:bsm-11-042nd237,Bacteria,26756923
nmdc:bsm-11-042nd237,Eukaryota,2891915
nmdc:bsm-11-042nd237,Viruses,355932
nmdc:bsm-11-3p2mnz08,Archaea,41923
nmdc:bsm-11-3p2mnz08,Bacteria,10766751
nmdc:bsm-11-3p2mnz08,Eukaryota,474197
nmdc:bsm-11-3p2mnz08,Viruses,199839
nmdc:bsm-11-622k6044,Archaea,80441
nmdc:bsm-11-622k6044,Bacteria,19398821
nmdc:bsm-11-622k6044,Eukaryota,1183072
nmdc:bsm-11-622k6044,Viruses,855580
nmdc:bsm-11-65a4xw75,Archaea,88750
nmdc:bsm-11-65a4xw75,Bacteria,13250698
nmdc:bsm-11-65a4xw75,Eukaryota,618860
nmdc:bsm-11-65a4xw75,Viruses,337824
nmdc:bsm-11-6m6c9g55,Archaea,23641
nmdc:bsm-11-6m6c9g55,Bacteria,10297024
nmdc:bsm-11-6m6c9g55,Eukaryota,336163
nmdc:bsm-11-6m6c9g55,Viruses,282643
nmdc:bsm-11-6x067s27,Archaea,19343
nmdc:bsm-11-6x067s27,Bacteria,7478586
nmdc:bsm-11-6x067s27,Eukaryota,245167
nmdc:bsm-11-6x067s27,Viruses,233131
nmdc:bsm-11-71991e79,Archaea,30577
nmdc:bsm-11-71991e79,Bacteria,12623331
nmdc:bsm-11-71991e79,Eukaryota,454683
nmdc:bsm-11-71991e79,Viruses,158460
nmdc:bsm-11-7m09me46,Archaea,27156
nmdc:bsm-11-7m09me46,Bacteria,6192130
nmdc:bsm-11-7m09me46,Eukaryota,272566
nmdc:bsm-11-7m09me46,Viruses,236611
nmdc:bsm-11-7twwzs96,Archaea,17317
nmdc:bsm-11-7twwzs96,Bacteria,7583476
nmdc:bsm-11-7twwzs96,Eukaryota,332034
nmdc:bsm-11-7twwzs96,Viruses,118461
nmdc:bsm-11-8rn9bm20,Archaea,37106
nmdc:bsm-11-8rn9bm20,Bacteria,11980917
nmdc:bsm-11-8rn9bm20,Eukaryota,686304
nmdc:bsm-11-8rn9bm20,Viruses,334069
nmdc:bsm-11-93mc8g67,Archaea,51935
nmdc:bsm-11-93mc8g67,Bacteria,9393598
nmdc:bsm-11-93mc8g67,Eukaryota,804895
nmdc:bsm-11-93mc8g67,Viruses,234009
nmdc:bsm-11-cwey4y35,Archaea,43175
nmdc:bsm-11-cwey4y35,Bacteria,8372930
nmdc:bsm-11-cwey4y35,Eukaryota,340483
nmdc:bsm-11-cwey4y35,Viruses,180879
nmdc:bsm-11-frgt4x11,Archaea,39028
nmdc:bsm-11-frgt4x11,Bacteria,3823215
nmdc:bsm-11-frgt4x11,Eukaryota,258370
nmdc:bsm-11-frgt4x11,Viruses,90910
nmdc:bsm-11-g61cvw79,Archaea,67202
nmdc:bsm-11-g61cvw79,Bacteria,5136775
nmdc:bsm-11-g61cvw79,Eukaryota,145792
nmdc:bsm-11-g61cvw79,Viruses,172569
nmdc:bsm-11-gk0czc37,Archaea,189127
nmdc:bsm-11-gk0czc37,Bacteria,8096949
nmdc:bsm-11-gk0czc37,Eukaryota,230871
nmdc:bsm-11-gk0czc37,Viruses,148706
nmdc:bsm-11-gr59rt72,Archaea,164853
nmdc:bsm-11-gr59rt72,Bacteria,19045204
nmdc:bsm-11-gr59rt72,Eukaryota,599626
nmdc:bsm-11-gr59rt72,Viruses,184019
nmdc:bsm-11-hebdaz02,Archaea,22701
nmdc:bsm-11-hebdaz02,Bacteria,13128054
nmdc:bsm-11-hebdaz02,Eukaryota,441779
nmdc:bsm-11-hebdaz02,Viruses,112658
nmdc:bsm-11-ncyddq48,Archaea,10508
nmdc:bsm-11-ncyddq48,Bacteria,5177764
nmdc:bsm-11-ncyddq48,Eukaryota,253658
nmdc:bsm-11-ncyddq48,Viruses,177779
nmdc:bsm-11-nq2tfm26,Archaea,109113
nmdc:bsm-11-nq2tfm26,Bacteria,12024856
nmdc:bsm-11-nq2tfm26,Eukaryota,177888
nmdc:bsm-11-nq2tfm26,Viruses,103453
nmdc:bsm-11-ssfs1051,Archaea,19991
nmdc:bsm-11-ssfs1051,Bacteria,6932393
nmdc:bsm-11-ssfs1051,Eukaryota,196309
nmdc:bsm-11-ssfs1051,Viruses,172052
nmdc:bsm-11-ve9a4g91,Archaea,22982
nmdc:bsm-11-ve9a4g91,Bacteria,16330389
nmdc:bsm-11-ve9a4g91,Eukaryota,570228
nmdc:bsm-11-ve9a4g91,Viruses,705722
nmdc:bsm-11-wrvmh591,Archaea,32093
nmdc:bsm-11-wrvmh591,Bacteria,15431042
nmdc:bsm-11-wrvmh591,Eukaryota,598870
nmdc:bsm-11-wrvmh591,Viruses,408439
nmdc:bsm-11-xtz7he28,Archaea,28601
nmdc:bsm-11-xtz7he28,Bacteria,12815764
nmdc:bsm-11-xtz7he28,Eukaryota,624171
nmdc:bsm-11-xtz7he28,Viruses,289922
nmdc:bsm-11-xxvfda22,Archaea,61751
nmdc:bsm-11-xxvfda22,Bacteria,6808049
nmdc:bsm-11-xxvfda22,Eukaryota,286999
nmdc:bsm-11-xxvfda22,Viruses,81536
